ConditionName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryName,CountryISO,Admin1Name,Admin1ISO,Admin2Name,CityName,PeriodStartDate,PeriodEndDate,PartOfCumulativeCountSeries,AgeRange,Subpopulation,PlaceOfAcquisition,DiagnosisCertainty,SourceName,CountValue
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/4/1995,30/4/1995,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,38
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/5/1995,31/5/1995,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,72
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/6/1995,30/6/1995,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,106
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/7/1995,31/7/1995,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,207
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/8/1995,31/8/1995,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,164
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/9/1995,30/9/1995,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,112
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/10/1995,31/10/1995,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,98
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/11/1995,30/11/1995,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,113
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/12/1995,31/12/1995,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,102
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/1/1996,31/1/1996,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,85
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/2/1996,29/2/1996,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,47
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/3/1996,31/3/1996,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,32
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/4/1996,30/4/1996,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,38
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/5/1996,31/5/1996,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,90
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/6/1996,30/6/1996,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,121
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/7/1996,31/7/1996,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,226
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/8/1996,31/8/1996,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,271
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/9/1996,30/9/1996,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,238
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/10/1996,31/10/1996,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,48
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/11/1996,30/11/1996,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,176
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/12/1996,31/12/1996,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,143
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/1/1997,31/1/1997,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,127
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/2/1997,28/2/1997,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,79
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/3/1997,31/3/1997,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,66
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/4/1997,30/4/1997,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,96
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/5/1997,31/5/1997,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,152
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/6/1997,30/6/1997,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,213
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/7/1997,31/7/1997,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,301
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/8/1997,31/8/1997,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,252
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/9/1997,30/9/1997,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,170
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/10/1997,31/10/1997,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,153
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/11/1997,30/11/1997,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,73
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/12/1997,31/12/1997,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,111
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/1/1998,31/1/1998,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,68
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/2/1998,28/2/1998,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,85
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/3/1998,31/3/1998,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,93
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/4/1998,30/4/1998,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,77
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/5/1998,31/5/1998,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,59
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/6/1998,30/6/1998,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,104
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/7/1998,31/7/1998,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,110
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/8/1998,31/8/1998,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,119
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/9/1998,30/9/1998,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,173
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/10/1998,31/10/1998,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,276
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/11/1998,30/11/1998,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,263
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/12/1998,31/12/1998,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,168
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/1/1999,31/1/1999,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,101
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/2/1999,28/2/1999,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,106
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/3/1999,31/3/1999,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,72
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/4/1999,30/4/1999,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,46
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/5/1999,31/5/1999,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,49
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/6/1999,30/6/1999,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,59
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/7/1999,31/7/1999,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,53
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/8/1999,31/8/1999,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,63
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/9/1999,30/9/1999,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,85
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/10/1999,31/10/1999,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,108
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/11/1999,30/11/1999,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,85
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/12/1999,31/12/1999,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,125
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/1/2000,31/1/2000,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,183
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/2/2000,29/2/2000,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,187
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/3/2000,31/3/2000,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,195
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/4/2000,30/4/2000,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,186
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/5/2000,31/5/2000,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,226
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/6/2000,30/6/2000,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,241
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/7/2000,31/7/2000,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,338
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/8/2000,31/8/2000,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,309
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/9/2000,30/9/2000,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,287
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/10/2000,31/10/2000,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,229
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/11/2000,30/11/2000,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,249
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/12/2000,31/12/2000,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,232
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/1/2001,31/1/2001,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,114
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/2/2001,28/2/2001,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,123
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/3/2001,31/3/2001,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,157
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/4/2001,30/4/2001,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,180
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/5/2001,31/5/2001,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,240
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/6/2001,30/6/2001,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,261
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/7/2001,31/7/2001,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,208
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/8/2001,31/8/2001,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,225
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/9/2001,30/9/2001,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,205
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/10/2001,31/10/2001,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,267
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/11/2001,30/11/2001,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,195
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/12/2001,31/12/2001,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,171
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/1/2002,31/1/2002,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,196
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/2/2002,28/2/2002,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,153
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/3/2002,31/3/2002,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,99
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/4/2002,30/4/2002,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,108
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/5/2002,31/5/2002,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,181
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,MY-01,NA,NA,1/6/2002,30/6/2002,0,0-130,None specified,NA,NA,Malaysia Dengue Surveillance System,195
