ConditionName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryName,CountryISO,Admin1Name,Weeks,PeriodStartDate,PeriodEndDate,CountValue
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,5,29/1/2011,4/2/2011,11
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,6,5/2/2011,11/2/2011,8
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,7,12/2/2011,18/2/2011,11
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,8,19/2/2011,25/2/2011,12
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,9,26/2/2011,4/3/2011,4
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,10,5/3/2011,11/3/2011,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,11,12/3/2011,18/3/2011,6
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,12,19/3/2011,25/3/2011,4
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,13,26/3/2011,1/4/2011,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,14,2/4/2011,8/4/2011,4
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,15,9/4/2011,15/4/2011,7
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,16,16/4/2011,22/4/2011,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,17,23/4/2011,29/4/2011,6
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,18,30/4/2011,6/5/2011,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,19,7/5/2011,13/5/2011,6
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,20,14/5/2011,20/5/2011,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,21,21/5/2011,27/5/2011,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,22,28/5/2011,3/6/2011,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,23,4/6/2011,10/6/2011,4
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,24,11/6/2011,17/6/2011,5
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,25,18/6/2011,24/6/2011,7
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,26,25/6/2011,1/7/2011,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,27,2/7/2011,8/7/2011,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,28,9/7/2011,15/7/2011,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,29,16/7/2011,22/7/2011,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,30,23/7/2011,29/7/2011,5
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,31,30/7/2011,5/8/2011,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,32,6/8/2011,12/8/2011,4
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,33,13/8/2011,19/8/2011,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,34,20/8/2011,26/8/2011,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,35,27/8/2011,2/9/2011,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,36,3/9/2011,9/9/2011,3
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,37,10/9/2011,16/9/2011,2
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,38,17/9/2011,23/9/2011,1
Dengue,38362002,Dengue virus,12637,0,MALAYSIA,MY,JOHOR,39,24/9/2011,30/9/2011,0
