Fatalities,Weeks,PeriodStartDate,CountValue,Year,Month,Admin1Name_JOHOR,Admin1Name_KEDAH,Admin1Name_KELANTAN,Admin1Name_MELAKA,Admin1Name_NEGERI SEMBILAN,Admin1Name_PAHANG,Admin1Name_PERAK,Admin1Name_PERLIS,Admin1Name_PULAU PINANG,Admin1Name_SABAH,Admin1Name_SARAWAK,Admin1Name_SELANGOR,Admin1Name_TERENGGANU,Admin1Name_WP KUALA LUMPUR,Admin1Name_WP LABUAN
0.0,0.5294117647058824,2010-07-09,20,0.0,0.5454545454545454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5490196078431372,2010-07-16,19,0.0,0.5454545454545454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5686274509803921,2010-07-23,16,0.0,0.5454545454545454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.588235294117647,2010-07-30,18,0.0,0.5454545454545454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6078431372549019,2010-08-06,17,0.0,0.6363636363636364,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6274509803921569,2010-08-13,18,0.0,0.6363636363636364,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6470588235294117,2010-08-20,22,0.0,0.6363636363636364,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6666666666666666,2010-08-27,21,0.0,0.6363636363636364,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6862745098039215,2010-09-03,19,0.0,0.7272727272727273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7058823529411764,2010-09-10,14,0.0,0.7272727272727273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7254901960784313,2010-09-17,24,0.0,0.7272727272727273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7450980392156862,2010-09-24,22,0.0,0.7272727272727273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7647058823529411,2010-10-01,19,0.0,0.8181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7843137254901961,2010-10-08,16,0.0,0.8181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8039215686274509,2010-10-15,15,0.0,0.8181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8235294117647058,2010-10-22,16,0.0,0.8181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8431372549019608,2010-10-29,8,0.0,0.8181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8627450980392156,2010-11-05,11,0.0,0.9090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8823529411764706,2010-11-12,11,0.0,0.9090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9019607843137254,2010-11-19,16,0.0,0.9090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9215686274509803,2010-11-26,15,0.0,0.9090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9411764705882353,2010-12-03,10,0.0,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9607843137254901,2010-12-10,8,0.0,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9803921568627451,2010-12-17,9,0.0,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9999999999999999,2010-12-24,13,0.0,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2011-01-01,8,0.09090909090909349,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0196078431372549,2011-01-08,6,0.09090909090909349,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0392156862745098,2011-01-15,9,0.09090909090909349,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.058823529411764705,2011-01-22,6,0.09090909090909349,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0784313725490196,2011-01-29,11,0.09090909090909349,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09803921568627451,2011-02-05,8,0.09090909090909349,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
